Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
A2,PB30,,Available,In,,,,,,,
A3,PC23,,Available,In,,,,,,,
A4,PIOBU3,,Available,In,,,,,,,
A5,PIOBU1,,Available,In,,,,,,,
A13,PB25,,Available,In,,,,,,,
A15,PB26,,Available,In,,,,,,,
A16,PC31,,Available,In,,,,,,,
A18,PD1,,Available,In,,,,,,,
A19,PD5,,Available,In,,,,,,,
A20,PD7,,Available,In,,,,,,,
AA13,PE4,,Available,In,,,,,,,
AA15,PE6,,Available,In,,,,,,,
AA16,PE8,,Available,In,,,,,,,
AA18,PE12,,Available,In,,,,,,,
AA19,PE10,,Available,In,,,,,,,
AA20,PA23,,Available,In,,,,,,,
B1,PC7,,Available,In,,,,,,,
B3,PC25,,Available,In,,,,,,,
B15,PB24,,Available,In,,,,,,,
B16,PC29,,Available,In,,,,,,,
B18,PD3,,Available,In,,,,,,,
B19,PD30,,Available,In,,,,,,,
B21,PA25,,Available,In,,,,,,,
C1,PC11,,Available,In,,,,,,,
C2,PC4,,Available,In,,,,,,,
C3,PB28,,Available,In,,,,,,,
C5,PB31,,Available,In,,,,,,,
C6,PC20,,Available,In,,,,,,,
C8,PC1,,Available,In,,,,,,,
C11,PB27,,Available,In,,,,,,,
C14,PB22,,Available,In,,,,,,,
C15,PC27,,Available,In,,,,,,,
C16,PD0,,Available,In,,,,,,,
C18,PD14,,Available,In,,,,,,,
C19,PD28,,Available,In,,,,,,,
C20,PB7,,Available,In,,,,,,,
C21,PA27,,Available,In,,,,,,,
D1,PC13,,Available,In,,,,,,,
D4,PC17,,Available,In,,,,,,,
D5,PC19,,Available,In,,,,,,,
D6,PC9,,Available,In,,,,,,,
D7,PC2,,Available,In,,,,,,,
D8,PIOBU2,,Available,In,,,,,,,
D14,PB23,,Available,In,,,,,,,
D15,PB21,,Available,In,,,,,,,
D16,PC28,,Available,In,,,,,,,
D17,PC30,,Available,In,,,,,,,
D18,PD12,,Available,In,,,,,,,
D19,PD26,,Available,In,,,,,,,
D20,PE3,,Available,In,,,,,,,
D21,PA29,,Available,In,,,,,,,
E6,PC8,USB_VBUS_SENSE,GPIO,In,n/a,No,Disabled,No,Yes,Glitch Filter,0
E18,PD16,,Available,In,,,,,,,
F3,PC15,,Available,In,,,,,,,
F4,PC22,,Available,In,,,,,,,
F5,PC24,,Available,In,,,,,,,
F7,PC18,,Available,In,,,,,,,
F8,PC21,,Available,In,,,,,,,
F14,PD9,,Available,In,,,,,,,
F18,PD19,,Available,In,,,,,,,
F19,PD22,,Available,In,,,,,,,
F20,PD31,,Available,In,,,,,,,
F21,PA31,,Available,In,,,,,,,
G3,PC5,,Available,In,,,,,,,
G4,PB29,,Available,In,,,,,,,
G6,PC26,,Available,In,,,,,,,
G8,PC3,,Available,In,,,,,,,
G10,PD6,,Available,In,,,,,,,
G12,PD4,,Available,In,,,,,,,
G13,PD2,,Available,In,,,,,,,
G14,PD8,,Available,In,,,,,,,
G16,PD10,,Available,In,,,,,,,
G18,PD23,,Available,In,,,,,,,
G19,PD24,,Available,In,,,,,,,
G20,PE1,,Available,In,,,,,,,
G21,PB1,,Available,In,,,,,,,
H4,PC16,,Available,In,,,,,,,
H5,PC12,,Available,In,,,,,,,
H6,PC6,,Available,In,,,,,,,
H7,PC10,SWITCH,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0
H11,PD11,,Available,In,,,,,,,
H12,PD15,,Available,In,,,,,,,
H13,PD17,,Available,In,,,,,,,
H15,PD21,,Available,In,,,,,,,
H16,PD18,,Available,In,,,,,,,
H17,PE0,,Available,In,,,,,,,
H18,PD29,,Available,In,,,,,,,
J7,PC14,,Available,In,,,,,,,
J8,PC0,,Available,In,,,,,,,
J10,PIOBU0,,Available,In,,,,,,,
J11,PD13,,Available,In,,,,,,,
J12,PD20,,Available,In,,,,,,,
J14,PB2,,Available,In,,,,,,,
J15,PB4,,Available,In,,,,,,,
J20,PB5,,Available,In,,,,,,,
J21,PB3,,Available,In,,,,,,,
K9,PD25,,Available,In,,,,,,,
K10,PD27,,Available,In,,,,,,,
K12,PE2,,Available,In,,,,,,,
K13,PB6,,Available,In,,,,,,,
K14,PA26,,Available,In,,,,,,,
K15,PA30,,Available,In,,,,,,,
L13,PA28,,Available,In,,,,,,,
L14,PB19,,Available,In,,,,,,,
M10,PB0,,Available,In,,,,,,,
M12,PB20,,Available,In,,,,,,,
M14,PB17,LED_RED,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
M15,PB15,LED,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
N11,PA15,,Available,In,,,,,,,
N14,PB13,,Available,In,,,,,,,
N15,PB14,,Available,In,,,,,,,
N20,PB16,,Available,In,,,,,,,
N21,PB18,,Available,In,,,,,,,
P9,PA24,,Available,In,,,,,,,
P10,PA22,,Available,In,,,,,,,
P11,PA13,,Available,In,,,,,,,
P12,PA11,,Available,In,,,,,,,
P15,PA7,,Available,In,,,,,,,
P16,PA4,,Available,In,,,,,,,
P17,PB10,,Available,In,,,,,,,
P18,PB12,,Available,In,,,,,,,
R9,PA17,,Available,In,,,,,,,
R10,PA20,,Available,In,,,,,,,
R12,PA10,,Available,In,,,,,,,
R13,PA8,,Available,In,,,,,,,
R14,PA2,,Available,In,,,,,,,
R18,PB9,,Available,In,,,,,,,
R19,PB11,,Available,In,,,,,,,
T14,PA6,,Available,In,,,,,,,
T18,PA3,,Available,In,,,,,,,
T19,PB8,,Available,In,,,,,,,
U14,PA9,,Available,In,,,,,,,
U18,PA0,,Available,In,,,,,,,
V14,PA14,,Available,In,,,,,,,
V15,PA16,,Available,In,,,,,,,
V16,PA5,,Available,In,,,,,,,
V17,PA1,,Available,In,,,,,,,
W15,PA12,,Available,In,,,,,,,
W16,PA18,,Available,In,,,,,,,
W18,PA19,,Available,In,,,,,,,
W19,PA21,LED_BLUE,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
Y13,PE5,,Available,In,,,,,,,
Y15,PE7,,Available,In,,,,,,,
Y16,PE9,,Available,In,,,,,,,
Y18,PE13,,Available,In,,,,,,,
Y19,PE11,,Available,In,,,,,,,
