Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
A1,PC12,,Available,In,,,,,,,
A2,PC11,,Available,In,,,,,,,
A3,PB25,,Available,In,,,,,,,
A4,PB20,,Available,In,,,,,,,
A5,PB18,,Available,In,,,,,,,
A6,PB14,,Available,In,,,,,,,
A7,PB11,,Available,In,,,,,,,
A8,PB10,,Available,In,,,,,,,
A9,PB6,,Available,In,,,,,,,
A10,PB5,,Available,In,,,,,,,
A11,PC31,,Available,In,,,,,,,
B1,PC13,,Available,In,,,,,,,
B2,PC9,,Available,In,,,,,,,
B3,PB23,,Available,In,,,,,,,
B4,PB19,,Available,In,,,,,,,
B5,PB16,,Available,In,,,,,,,
B6,PB12,,Available,In,,,,,,,
B7,PB4,,Available,In,,,,,,,
B8,PB3,,Available,In,,,,,,,
B9,PC29,,Available,In,,,,,,,
B10,PC27,,Available,In,,,,,,,
C1,PC17,,Available,In,,,,,,,
C2,PB30,,Available,In,,,,,,,
C3,PB22,,Available,In,,,,,,,
C4,PB17,,Available,In,,,,,,,
C5,PB13,,Available,In,,,,,,,
C6,PB9,,Available,In,,,,,,,
C7,PB2,,Available,In,,,,,,,
C8,PB1,LED,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
C9,PD1,,Available,In,,,,,,,
D1,PC19,,Available,In,,,,,,,
D2,PB28,,Available,In,,,,,,,
D3,PB21,,Available,In,,,,,,,
D5,PB7,,Available,In,,,,,,,
D8,PD2,,Available,In,,,,,,,
E1,PC21,,Available,In,,,,,,,
E2,PB24,,Available,In,,,,,,,
E4,PB15,,Available,In,,,,,,,
E5,PB8,,Available,In,,,,,,,
E6,PC30,,Available,In,,,,,,,
E7,PD0,,Available,In,,,,,,,
F1,PC22,,Available,In,,,,,,,
F4,PB27,,Available,In,,,,,,,
F5,PB0,,Available,In,,,,,,,
F6,PC28,,Available,In,,,,,,,
F7,PC26,,Available,In,,,,,,,
G1,PC24,,Available,In,,,,,,,
G2,PC15,,Available,In,,,,,,,
G3,PB26,,Available,In,,,,,,,
G4,PC10,,Available,In,,,,,,,
G5,PC14,,Available,In,,,,,,,
G6,PC16,,Available,In,,,,,,,
G7,PB31,,Available,In,,,,,,,
G8,PB29,,Available,In,,,,,,,
G9,PC18,,Available,In,,,,,,,
H1,PD5,,Available,In,,,,,,,
H4,PC20,,Available,In,,,,,,,
H6,PD7,,Available,In,,,,,,,
H7,PD4,,Available,In,,,,,,,
H8,PC25,,Available,In,,,,,,,
H9,PC23,,Available,In,,,,,,,
J1,PD3,,Available,In,,,,,,,
J2,PD6,,Available,In,,,,,,,
J3,PD10,,Available,In,,,,,,,
J4,PD9,,Available,In,,,,,,,
J7,PD18,,Available,In,,,,,,,
K1,PD17,,Available,In,,,,,,,
K2,PD11,,Available,In,,,,,,,
K3,PD8,,Available,In,,,,,,,
K5,PD14,,Available,In,,,,,,,
K8,PD15,,Available,In,,,,,,,
K9,PD12,,Available,In,,,,,,,
L1,PD16,,Available,In,,,,,,,
L2,PD20,USB_VBUS_SENSE,GPIO,In,n/a,No,Disabled,No,Yes,Disabled,0x0
L3,PD28,,Available,In,,,,,,,
L4,PD24,,Available,In,,,,,,,
L5,PD25,,Available,In,,,,,,,
L6,PD22,,Available,In,,,,,,,
L7,PD27,,Available,In,,,,,,,
L8,PD19,,Available,In,,,,,,,
L11,PC6,,Available,In,,,,,,,
M2,PD29,,Available,In,,,,,,,
M3,PIOBU1,,Available,In,,,,,,,
M5,PIOBU5,,Available,In,,,,,,,
M8,PD31,,Available,In,,,,,,,
M9,PD30,,Available,In,,,,,,,
M10,PC3,,Available,In,,,,,,,
M11,PA16,,Available,In,,,,,,,
M13,PC8,,Available,In,,,,,,,
M15,PC7,,Available,In,,,,,,,
M16,PC5,,Available,In,,,,,,,
M17,PA14,,Available,In,,,,,,,
N1,PD13,,Available,In,,,,,,,
N3,PIOBU7,,Available,In,,,,,,,
N4,PIOBU4,,Available,In,,,,,,,
N5,PIOBU6,,Available,In,,,,,,,
N7,PA1,,Available,In,,,,,,,
N9,PC2,,Available,In,,,,,,,
N10,PC0,,Available,In,,,,,,,
N11,PC1,,Available,In,,,,,,,
N14,PA17,,Available,In,,,,,,,
N15,PC4,,Available,In,,,,,,,
N16,PA15,,Available,In,,,,,,,
N17,PA12,,Available,In,,,,,,,
P1,PD21,,Available,In,,,,,,,
P2,PIOBU2,,Available,In,,,,,,,
P3,PIOBU0,,Available,In,,,,,,,
P4,PIOBU3,,Available,In,,,,,,,
P8,PA9,,Available,In,,,,,,,
P9,PA20,,Available,In,,,,,,,
P10,PA21,,Available,In,,,,,,,
P13,PA31,LED_BLUE,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
P14,PA29,SWITCH,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0x0
P15,PA11,,Available,In,,,,,,,
P16,PA13,,Available,In,,,,,,,
P17,PA26,,Available,In,,,,,,,
R1,PD26,,Available,In,,,,,,,
R9,PA8,,Available,In,,,,,,,
R10,PA10,LED_RED,LED_AH,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
R11,PA7,,Available,In,,,,,,,
R13,PA30,,Available,In,,,,,,,
R14,PA28,,Available,In,,,,,,,
R15,PA27,,Available,In,,,,,,,
R16,PA25,,Available,In,,,,,,,
R17,PA24,,Available,In,,,,,,,
T1,PD23,,Available,In,,,,,,,
T13,PA3,,Available,In,,,,,,,
T14,PA23,,Available,In,,,,,,,
T15,PA19,,Available,In,,,,,,,
T16,PA18,,Available,In,,,,,,,
T17,PA22,,Available,In,,,,,,,
U13,PA0,,Available,In,,,,,,,
U14,PA2,,Available,In,,,,,,,
U15,PA4,,Available,In,,,,,,,
U16,PA5,,Available,In,,,,,,,
U17,PA6,,Available,In,,,,,,,
