Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
A2,PB30,,Available,In,,,,,,,
A3,PB24,,Available,In,,,,,,,
A4,PB16,,Available,In,,,,,,,
A6,PB12,,Available,In,,,,,,,
A7,PB5,,Available,In,,,,,,,
A9,PB1,,Available,In,,,,,,,
A10,PB2,SWITCH,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0x0
A11,PB3,,Available,In,,,,,,,
A12,PB4,,Available,In,,,,,,,
B1,PC15,,Available,In,,,,,,,
B2,PC9,,Available,In,,,,,,,
B3,PB17,,Available,In,,,,,,,
B5,PB11,,Available,In,,,,,,,
B6,PB9,,Available,In,,,,,,,
B7,PB6,,Available,In,,,,,,,
B8,PB8,,Available,In,,,,,,,
C1,PC17,,Available,In,,,,,,,
C2,PC11,,Available,In,,,,,,,
C4,PB13,,Available,In,,,,,,,
C5,PB7,,Available,In,,,,,,,
C6,PC29,,Available,In,,,,,,,
C7,PB0,,Available,In,,,,,,,
C8,PC31,,Available,In,,,,,,,
D1,PC19,,Available,In,,,,,,,
D2,PC12,,Available,In,,,,,,,
D3,PB18,,Available,In,,,,,,,
D6,PC26,,Available,In,,,,,,,
D7,PC30,,Available,In,,,,,,,
D8,PD1,,Available,In,,,,,,,
E1,PC24,,Available,In,,,,,,,
E2,PC22,,Available,In,,,,,,,
E3,PC21,,Available,In,,,,,,,
E4,PB22,,Available,In,,,,,,,
E7,PC27,,Available,In,,,,,,,
F2,PB20,,Available,In,,,,,,,
F3,PB21,,Available,In,,,,,,,
F4,PB19,,Available,In,,,,,,,
G2,PB26,,Available,In,,,,,,,
G4,PB14,,Available,In,,,,,,,
G6,PB10,,Available,In,,,,,,,
H1,PB25,,Available,In,,,,,,,
H2,PB23,,Available,In,,,,,,,
H4,PB15,,Available,In,,,,,,,
H5,PB27,,Available,In,,,,,,,
J1,PD6,,Available,In,,,,,,,
J2,PB28,,Available,In,,,,,,,
J3,PB29,,Available,In,,,,,,,
J4,PB31,,Available,In,,,,,,,
J5,PC28,,Available,In,,,,,,,
J6,PD2,,Available,In,,,,,,,
J7,PD0,,Available,In,,,,,,,
K1,PD8,,Available,In,,,,,,,
K2,PC13,,Available,In,,,,,,,
K5,PC10,,Available,In,,,,,,,
K6,PC14,,Available,In,,,,,,,
K9,PC16,,Available,In,,,,,,,
K18,PA13,,Available,In,,,,,,,
L1,PD10,,Available,In,,,,,,,
L2,PD5,,Available,In,,,,,,,
L3,PD9,,Available,In,,,,,,,
L4,PC25,,Available,In,,,,,,,
L5,PD7,,Available,In,,,,,,,
L6,PD4,,Available,In,,,,,,,
L7,PC23,,Available,In,,,,,,,
L8,PC20,,Available,In,,,,,,,
L9,PC18,,Available,In,,,,,,,
L17,PA15,,Available,In,,,,,,,
L18,PA11,,Available,In,,,,,,,
L19,PC5,,Available,In,,,,,,,
M1,PD16,,Available,In,,,,,,,
M2,PD17,,Available,In,,,,,,,
M3,PD3,,Available,In,,,,,,,
M4,PD18,,Available,In,,,,,,,
M5,PD15,,Available,In,,,,,,,
M6,PD14,,Available,In,,,,,,,
M7,PD12,,Available,In,,,,,,,
M8,PD19,,Available,In,,,,,,,
M16,PA17,,Available,In,,,,,,,
M18,PA27,,Available,In,,,,,,,
N1,PD20,,Available,In,,,,,,,
N2,PD13,,Available,In,,,,,,,
N3,PD11,,Available,In,,,,,,,
N4,PD28,,Available,In,,,,,,,
